O*NET-SOC Code,알기,짜기,꺼내기,다루기,돌보기,이끌기,Title
11-1011.00,3.74,4.2683333333333335,2.97,1.8650000000000002,3.976,4.2907692307692304,Chief Executives
11-1011.03,3.800666666666666,3.981666666666667,3.165,1.5666666666666667,3.558,3.8653846153846154,Chief Sustainability Officers
11-1021.00,3.650666666666667,3.9299999999999997,2.91,1.9666666666666666,3.308,3.816153846153846,General and Operations Managers
11-2011.00,3.112666666666667,3.775,2.875,1.7183333333333335,3.132,3.344615384615385,Advertising and Promotions Managers
11-2021.00,3.4420000000000006,3.8366666666666673,3.38,1.8133333333333332,3.2600000000000002,3.7,Marketing Managers
11-2022.00,3.499333333333333,3.8783333333333334,2.5949999999999998,1.3299999999999998,3.91,4.4,Sales Managers
11-2032.00,3.5173333333333336,3.98,2.8150000000000004,1.36,3.418,3.7600000000000002,Public Relations Managers
11-2033.00,3.162666666666667,3.3183333333333334,2.265,1.5850000000000002,2.918,3.044615384615385,Fundraising Managers
11-3012.00,3.540666666666667,3.8083333333333336,2.75,2.7716666666666665,3.2979999999999996,3.4000000000000004,Administrative Services Managers
11-3013.00,3.7899999999999996,3.9949999999999997,3.96,3.275,3.278,3.553076923076923,Facilities Managers
11-3013.01,3.7646666666666664,3.9650000000000003,3.27,2.5733333333333333,3.8920000000000003,4.078461538461538,Security Managers
11-3021.00,3.759333333333333,3.8333333333333335,2.7800000000000002,1.79,2.92,3.686923076923077,Computer and Information Systems Managers
11-3031.00,3.3213333333333335,3.516666666666667,2.175,1.5683333333333334,3.35,3.4769230769230766,Financial Managers
11-3031.01,3.489333333333333,3.5033333333333334,2.3,1.0733333333333335,2.8080000000000003,3.3969230769230765,Treasurers and Controllers
11-3031.03,3.6673333333333336,2.973333333333333,2.395,1.135,2.588,2.8492307692307692,Investment Fund Managers
11-3051.00,3.6093333333333333,3.638333333333333,3.125,3.046666666666667,3.034,3.3907692307692305,Industrial Production Managers
11-3051.01,3.975333333333333,3.6599999999999997,3.04,2.4066666666666667,3.078,3.5076923076923086,Quality Control Systems Managers
11-3051.02,3.739333333333333,4.048333333333333,3.355,2.6283333333333334,3.218,3.646153846153846,Geothermal Production Managers
11-3051.03,3.532666666666667,3.448333333333333,2.91,2.438333333333333,2.982,3.5215384615384613,Biofuels Production Managers
11-3051.04,3.657333333333333,3.8800000000000003,3.17,3.1649999999999996,3.004,3.5738461538461532,Biomass Power Plant Managers
11-3051.06,3.674666666666667,3.9283333333333332,3.2750000000000004,2.8049999999999997,3.274,3.5307692307692307,Hydroelectric Production Managers
11-3061.00,3.580666666666666,3.911666666666667,3.0999999999999996,1.5983333333333334,3.522,3.711538461538461,Purchasing Managers
11-3071.00,3.492,3.8166666666666664,2.865,2.2683333333333335,3.214,3.6523076923076925,"Transportation, Storage, and Distribution Managers"
11-3071.04,3.5546666666666673,3.8800000000000003,3.0949999999999998,1.865,3.2,3.8884615384615384,Supply Chain Managers
